time, value, t-delta
1358152139, 204, 90
1358152440, 162, 90
1358152741, 206, 90
1358153042, 218, 90
1358153343, 221, 90
1358153644, 190, 90
1358153945, 161, 90
1358154246, 162, 90
1358154547, 165, 90
1358154848, 789, 90
1358155149, 167, 90
1358155450, 168, 90
1358155751, 169, 90
1358156052, 225, 90
1358156353, 417, 90
1358156654, 252, 90
1358156955, 299, 90
1358157256, 148, 90
1358157557, 149, 90
1358157858, 124, 90
1358158159, 107, 90
1358158460, 107, 90
1358158761, 108, 90
1358159062, 122, 90
1358159363, 154, 90
1358159665, 215, 90
1358159966, 209, 90
1358160267, 2254, 90
1358160568, 1944, 90
1358160869, 155, 90
1358161170, 153, 90
1358161471, 154, 90
1358161772, 180, 90
1358162073, 800, 90
1358162374, 697, 90
1358162675, 393, 90
1358162976, 436, 90
1358163277, 456, 90
1358163879, 241, 90
1358164180, 114, 90
1358164482, 106, 90
1358164784, 107, 90
1358165085, 109, 90
1358165386, 108, 90
1358165687, 108, 90
1358165988, 109, 90
1358166289, 128, 90
1358166589, 170, 90
1358166890, 166, 90
1358167191, 163, 90
1358167492, 126, 90
1358167795, 108, 90
1358168097, 1908, 90
1358168398, 2188, 90
1358168699, 503, 90
1358169000, 108, 90
1358169302, 135, 90
1358169603, 193, 90
1358169906, 222, 90
1358170209, 280, 90
1358170513, 277, 90
1358170814, 274, 90
1358171116, 221, 90
1358171418, 222, 90
1358171719, 221, 90
1358172020, 218, 90
1358172324, 206, 90
1358172625, 216, 90
1358172926, 122, 90
1358173227, 562, 90
1358173528, 167, 90
1358173829, 165, 90
1358174131, 206, 90
1358174432, 182, 90
1358174734, 111, 90
1358175035, 110, 90
1358175336, 1274, 90
1358175637, 111, 90
1358175938, 114, 90
1358176239, 412, 90
1358176540, 253, 90
1358176841, 954, 90
1358177142, 2397, 90
1358177444, 2379, 90
1358177745, 260, 90
1358178046, 235, 90
1358178347, 206, 90
1358178647, 201, 90
1358178948, 204, 90
1358179250, 208, 90
1358179552, 208, 90
1358179853, 270, 90
1358180154, 209, 90
1358180456, 232, 90
1358180756, 264, 90
1358181057, 366, 90
1358181359, 348, 90
1358181660, 292, 90
1358181961, 294, 90
1358408469, 1373, 90
1358408770, 2409, 90
1358409071, 1684, 90
1358409372, 100, 90
1358409974, 101, 90
1358410276, 101, 90
1358410577, 101, 90
1358410878, 101, 90
1358411179, 132, 90
1358412986, 162, 90
1358413287, 194, 90
1358414191, 160, 90
1358414492, 195, 90
1358414793, 211, 90
1358415094, 207, 90
1358415395, 191, 90
1358415696, 150, 90
1358415997, 149, 90
1358416298, 350, 90
1358416599, 478, 90
